"","date","revenue"
"1",2017-01-28,750
"2",2017-01-28,500
"3",2017-01-28,250
"4",2017-01-28,70000
"5",2017-01-26,32250
"6",2017-01-26,32000
"7",2017-01-26,31750
"8",2017-01-26,31500
"9",2017-01-26,31250
"10",2017-01-26,31000
"11",2017-01-26,30750
"12",2017-01-26,30500
"13",2017-01-26,30250
"14",2017-01-26,30000
"15",2017-01-26,29250
"16",2017-01-26,29000
"17",2017-01-26,28750
"18",2017-01-26,28500
"19",2017-01-26,28250
"20",2017-01-26,28000
"21",2017-01-26,32500
"22",2017-01-16,4500
"23",2017-01-16,4250
"24",2017-01-16,4000
"25",2017-01-16,2500
"26",2017-01-16,2000
"27",2017-01-16,4750
"28",2017-01-09,8250
"29",2017-01-09,8000
"30",2017-01-09,7500
"31",2017-01-09,7250
"32",2017-01-09,7000
"33",2017-01-09,6750
"34",2017-01-09,6500
"35",2017-01-09,12500
"36",2017-01-04,30000
"37",2017-01-04,28250
"38",2017-01-04,20500
"39",2017-01-04,20250
"40",2017-01-04,20000
"41",2017-01-04,30250
"42",2017-01-18,30500
"43",2017-01-18,30250
"44",2017-01-18,30000
"45",2017-01-18,29750
"46",2017-01-18,29500
"47",2017-01-18,29250
"48",2017-01-18,29000
"49",2017-01-18,28750
"50",2017-01-18,28500
"51",2017-01-18,28250
"52",2017-01-18,28000
"53",2017-01-18,27500
"54",2017-01-18,13250
"55",2017-01-18,12500
"56",2017-01-18,12250
"57",2017-01-18,12000
"58",2017-01-18,30750
"59",2017-01-02,7750
"60",2017-01-02,7500
"61",2017-01-02,7250
"62",2017-01-02,7000
"63",2017-01-02,13500
"64",2017-01-02,20250
"65",2017-01-02,20000
"66",2017-01-02,15000
"67",2017-01-02,42300
"68",2017-01-02,4500
"69",2017-01-02,70000
"70",2017-01-09,11000
"71",2017-01-09,10750
"72",2017-01-09,10500
"73",2017-01-09,10250
"74",2017-01-09,10000
"75",2017-01-09,9750
"76",2017-01-09,9500
"77",2017-01-09,3250
"78",2017-01-09,3000
"79",2017-01-09,11250
"80",2017-01-02,17750
"81",2017-01-02,17500
"82",2017-01-02,6350
"83",2017-01-02,6100
"84",2017-01-02,5850
"85",2017-01-02,5600
"86",2017-01-02,18000
"87",2017-01-18,22000
"88",2017-01-18,21250
